mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.24048582712809244,0.0163099714020525,0.013004144032796225,0.000975114934420304,True,80,2,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.4148148148148148,0.5518518518518518,0.48518518518518516,0.48395061728395056,0.0559519466351835,182
0.48688602447509766,0.040818120659645,0.020784854888916016,0.0008550375689141912,True,80,2,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.5777777777777777,0.5518518518518518,0.48518518518518516,0.5382716049382715,0.03900140493563286,23
0.8040776252746582,0.029553402533445027,0.030158281326293945,0.002910916324239954,True,80,2,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.6037037037037037,0.5,0.44814814814814813,0.5172839506172839,0.06467062149979654,87
2.3130133946736655,0.021046553843047593,0.1017913818359375,0.012047754650030454,True,80,2,3,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",0.6037037037037037,0.5518518518518518,0.44814814814814813,0.5345679012345679,0.06467062149979654,40
0.29364744822184247,0.016993057041209875,0.015506347020467123,0.004512282432665626,True,80,2,3,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.4962962962962963,0.5518518518518518,0.45185185185185184,0.5,0.040908744508100954,136
0.4445043404897054,0.02048383060518327,0.020087401072184246,0.0002195261067837117,True,80,2,3,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.5777777777777777,0.4666666666666667,0.4777777777777778,0.5074074074074074,0.04996569467863716,127
0.6956329345703125,0.03713167074111141,0.03009335199991862,0.0010134065273493132,True,80,2,3,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.5777777777777777,0.5222222222222223,0.4777777777777778,0.525925925925926,0.04090874450810093,59
2.286451498667399,0.10228102636828608,0.09174442291259766,0.00811608691782229,True,80,2,3,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.4148148148148148,0.5259259259259259,0.45185185185185184,0.46419753086419746,0.04619330107128323,252
0.23418720563252768,0.013682068816497698,0.013126134872436523,0.0009454372841028229,True,80,2,3,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",0.6037037037037037,0.5518518518518518,0.42962962962962964,0.528395061728395,0.07297539114139086,47
0.4624321460723877,0.03172174829886276,0.02066691716512044,0.0008749471215268472,True,80,2,3,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.6037037037037037,0.5222222222222223,0.48518518518518516,0.5370370370370371,0.049506018903119585,31
0.6546072165171305,0.015019000411412032,0.029732465744018555,0.0014148652960548106,True,80,2,3,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 300}",0.44074074074074077,0.5259259259259259,0.45185185185185184,0.4728395061728395,0.037810846496576664,229
2.2935684521993003,0.07910650921856432,0.08738271395365398,0.004439131384830883,True,80,2,3,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1000}",0.4703703703703704,0.4962962962962963,0.48518518518518516,0.48395061728395056,0.010620154650669901,182
0.23672238985697427,0.011349704472598704,0.012796560923258463,0.0009079023179893919,True,80,2,4,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",0.5518518518518518,0.48148148148148145,0.48518518518518516,0.5061728395061728,0.032335310749898254,130
0.4431300163269043,0.002383806802509555,0.020737886428833008,0.0003244564736027778,True,80,2,4,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 200}",0.5222222222222223,0.5259259259259259,0.44814814814814813,0.4987654320987655,0.03582374846554793,145
0.658102830251058,0.025227556019005636,0.03165165583292643,0.0052999548194850145,True,80,2,4,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 300}",0.5777777777777777,0.5518518518518518,0.4444444444444444,0.5246913580246914,0.05772182581511584,65
2.241242249806722,0.006575009808497548,0.08472283681233723,0.0016360361112089353,True,80,2,4,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1000}",0.5777777777777777,0.4962962962962963,0.45185185185185184,0.5086419753086419,0.05214496810356264,125
