mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.09853037198384602,0.006855333376559491,0.0037626425425211587,8.546285340732094e-05,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.2814814814814815,0.3333333333333333,0.3037037037037037,0.30617283950617286,0.021240309301339806,6
0.1912409464518229,0.006599468274976626,0.006285826365152995,4.917141959826907e-05,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.2740740740740741,0.3333333333333333,0.3333333333333333,0.3135802469135802,0.027935082713542607,3
0.09972333908081055,0.005343825754471451,0.0037965774536132812,6.751105998184417e-05,,50,"{'max_depth': None, 'n_estimators': 50}",0.3925925925925926,0.3333333333333333,0.3,0.3419753086419753,0.03829151214634772,2
0.18951288859049478,0.008008610796198242,0.006066083908081055,0.00014268868939312077,,100,"{'max_depth': None, 'n_estimators': 100}",0.3296296296296296,0.3111111111111111,0.2962962962962963,0.31234567901234567,0.013636248169366984,4
0.09968177477518718,0.005768514688951206,0.0038371880849202475,0.00011844346634525922,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.36666666666666664,0.3333333333333333,0.40370370370370373,0.3679012345679012,0.028741843769932898,1
0.19227210680643717,0.007661613903885597,0.006037791570027669,1.76755215461909e-05,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.34814814814814815,0.34074074074074073,0.23703703703703705,0.30864197530864196,0.05072256440536824,5
