mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12364554405212402,0.007083598845223134,0.004452308019002278,0.00017360500130114877,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.715,0.75,0.688,0.7176666666666666,0.02538153309440199,4
0.24876817067464194,0.024851759435133965,0.006702025731404622,0.00017889861468307094,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.615,0.8863636363636364,0.628,0.7097878787878789,0.1249706595501241,5
0.12254961331685384,0.008049885733603927,0.004551490147908528,0.0002260320741572739,,50,"{'max_depth': None, 'n_estimators': 50}",0.68,0.8454545454545455,0.692,0.7391515151515152,0.07532706768355907,3
0.2402480443318685,0.013215035043561512,0.006898959477742513,9.261087972406381e-05,,100,"{'max_depth': None, 'n_estimators': 100}",0.615,0.9772727272727273,0.692,0.7614242424242423,0.15583148228891353,2
0.12238486607869466,0.007618087748108975,0.004681905110677083,0.000352799905292827,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.715,0.8863636363636364,0.688,0.7631212121212121,0.08783989735066203,1
0.25586716334025067,0.010867826205151811,0.0072218577067057295,0.00023268695174921217,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.615,0.8136363636363636,0.692,0.706878787878788,0.08177259111391744,6
