mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2761986255645752,0.003479016002529779,0.01195828119913737,0.0007575609026338595,True,80,2,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.3037037037037037,0.4444444444444444,0.43333333333333335,0.3938271604938272,0.06388814337252154,203
0.548662026723226,0.007944487453305771,0.02632761001586914,0.005859523789827186,True,80,2,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.3037037037037037,0.4962962962962963,0.45925925925925926,0.4197530864197531,0.0834407172776089,71
0.8857959906260172,0.130257371979789,0.03848822911580404,0.011218044003641533,True,80,2,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.2740740740740741,0.4962962962962963,0.37777777777777777,0.38271604938271603,0.09078901881901351,251
2.654662529627482,0.19467696247591093,0.08803280194600423,0.006455485059580628,True,80,2,3,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",0.26666666666666666,0.4703703703703704,0.40370370370370373,0.3802469135802469,0.08479962844975013,260
0.26732055346171063,0.01543766289203927,0.014296611150105795,0.0023894758531550126,True,80,2,3,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.26666666666666666,0.5518518518518518,0.40370370370370373,0.4074074074074074,0.11645581573604273,145
0.5224913756052653,0.030004107083069192,0.020461877187093098,0.00046327903135180693,True,80,2,3,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.26666666666666666,0.4444444444444444,0.43333333333333335,0.3814814814814815,0.08131295703740796,254
0.8379236857096354,0.045707797421177074,0.03000156084696452,0.004897583539301045,True,80,2,3,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.3111111111111111,0.4666666666666667,0.37777777777777777,0.38518518518518513,0.06372092790401945,235
2.7356963952382407,0.19091647201916978,0.0876003901163737,0.005380702113810738,True,80,2,3,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.3111111111111111,0.5518518518518518,0.37777777777777777,0.41358024691358025,0.10149019217068941,100
0.28235745429992676,0.02806665037290622,0.013029893239339193,0.0010689991697503919,True,80,2,3,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",0.2740740740740741,0.5370370370370371,0.43333333333333335,0.4148148148148148,0.10814983932383103,92
0.5667447249094645,0.02802324666405894,0.03303750356038412,0.0045773599185525825,True,80,2,3,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.35555555555555557,0.5259259259259259,0.43333333333333335,0.4382716049382716,0.06964101124034791,15
0.8091917037963867,0.06417317030877727,0.03023537000020345,0.0031067622143242705,True,80,2,3,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 300}",0.3037037037037037,0.4740740740740741,0.45925925925925926,0.41234567901234565,0.0770591927621098,108
2.6558876832326255,0.09773398151434604,0.09430861473083496,0.005547622821642923,True,80,2,3,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1000}",0.2740740740740741,0.5777777777777777,0.45925925925925926,0.43703703703703706,0.12497827886265445,19
0.2758658727010091,0.0410824526615789,0.010936101277669271,0.0004404922602015964,True,80,2,4,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",0.3037037037037037,0.5259259259259259,0.37777777777777777,0.40246913580246907,0.09238660214256646,165
0.5071489810943604,0.03682609823689028,0.02306199073791504,0.004684892420537616,True,80,2,4,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 200}",0.31851851851851853,0.5,0.43333333333333335,0.417283950617284,0.07495362586005204,80
0.7856723467508951,0.027135038146954234,0.03451045354207357,0.00486499247548219,True,80,2,4,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 300}",0.35555555555555557,0.5814814814814815,0.40370370370370373,0.4469135802469136,0.09716292528370864,8
2.455730120340983,0.11484345260500961,0.08883579572041829,0.006446616986564169,True,80,2,4,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 1000}",0.2740740740740741,0.5259259259259259,0.45925925925925926,0.4197530864197531,0.10654542721180946,71
