mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
4.526254177093506,0.0945699374573645,0.004986190795898437,0.0002010578717899476,0.01,2,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 1.0}",0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.7444444444444445,0.9972222222222222,0.75,0.47416666666666674,0.2598671609842704,94
4.297174501419067,0.07126490640852065,0.0054521322250366214,0.00010164650865099697,0.01,2,5,300,0.5,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 0.5}",0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.49444444444444446,0.75,0.75,0.47444444444444445,0.17492855684535902,91
6.850210523605346,0.17442783592539246,0.005467724800109863,0.00017361594601867687,0.01,2,5,300,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 1.0}",0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.7444444444444445,0.9972222222222222,0.7444444444444445,0.4736111111111111,0.2592821583802499,101
7.370271492004394,0.15391388480325424,0.006366086006164551,0.00021837163740843606,0.01,2,5,500,0.5,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 500, 'subsample': 0.5}",0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.49444444444444446,0.75,0.75,0.47444444444444445,0.17492855684535902,91
11.54631953239441,0.16444391692417804,0.007188200950622559,0.002394423643935664,0.01,2,5,500,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 500, 'subsample': 1.0}",0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.7444444444444445,0.9972222222222222,0.7444444444444445,0.49861111111111117,0.2483378386367358,77
0.7633590221405029,0.07098157876777886,0.004196524620056152,8.654103449091559e-05,0.01,2,10,50,0.5,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.5}",0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.275,0.075,229
1.201797604560852,0.07502781414416655,0.004299354553222656,0.00022502922086223878,0.01,2,10,50,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 1.0}",0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.75,0.5,0.4,0.16583123951777,175
1.4636395215988158,0.08136300113269952,0.005037569999694824,0.0011756690290960217,0.01,2,10,100,0.5,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.5}",0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.75,0.4,0.16583123951777,175
2.3213087558746337,0.06617942552231791,0.004623723030090332,8.068403517847767e-05,0.01,2,10,100,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1.0}",0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.75,0.75,0.75,0.5,0.19364916731037085,52
2.8846944093704225,0.039987344901575975,0.004998135566711426,0.00016533375446492406,0.01,2,10,200,0.5,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.5}",0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.75,0.75,0.45,0.18708286933869706,111
4.474473714828491,0.055946047830859186,0.005010843276977539,0.000136584841393769,0.01,2,10,200,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 1.0}",0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.7444444444444445,0.9972222222222222,0.75,0.47416666666666674,0.2598671609842704,94
4.529605746269226,0.2208061306844696,0.005689740180969238,0.00020491111526253357,0.01,2,10,300,0.5,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 300, 'subsample': 0.5}",0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.49444444444444446,0.75,0.75,0.4494444444444444,0.18694176157889983,127
7.178321790695191,0.25578213267726335,0.0056340694427490234,0.000264062477460615,0.01,2,10,300,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 300, 'subsample': 1.0}",0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.7444444444444445,0.9972222222222222,0.7472222222222222,0.4738888888888889,0.259573486823536,99
7.744928455352783,0.297160595638065,0.007613635063171387,0.0036768102919082814,0.01,2,10,500,0.5,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 500, 'subsample': 0.5}",0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.49444444444444446,0.75,0.75,0.4494444444444444,0.18694176157889983,127
11.616103863716125,0.3548450655270728,0.006323766708374023,0.00010116152849764468,0.01,2,10,500,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 500, 'subsample': 1.0}",0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.7444444444444445,0.9972222222222222,0.7444444444444445,0.49861111111111117,0.2483378386367358,77
1.6169697523117066,0.04588256767539442,0.004352927207946777,0.00016223627517057614,0.01,5,2,50,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.5}",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.275,0.075,229
2.2496479749679565,0.24154759828104636,0.00431671142578125,0.0001382365313846846,0.01,5,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.7472222222222222,0.5,0.25,0.37472222222222223,0.1670848919295551,199
