mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12274901072184245,0.0166819380146104,0.00030040740966796875,0.0001459652725114614,10,50,"{'max_depth': 10, 'n_estimators': 50}",,,,,,1
0.2322697639465332,0.014139649945975252,0.00021306673685709635,1.988410314432272e-06,10,100,"{'max_depth': 10, 'n_estimators': 100}",,,,,,1
0.1256082852681478,0.010532083969656486,0.00019844373067220053,1.261191967320593e-05,,50,"{'max_depth': None, 'n_estimators': 50}",,,,,,1
0.23447354634602866,0.017074364922516485,0.00019788742065429688,1.2325725569257692e-05,,100,"{'max_depth': None, 'n_estimators': 100}",,,,,,1
0.11600255966186523,0.009737910937545209,0.00019788742065429688,1.0524679356323778e-05,20,50,"{'max_depth': 20, 'n_estimators': 50}",,,,,,1
0.23565173149108887,0.016612855068023822,0.00022069613138834635,2.296779394933602e-05,20,100,"{'max_depth': 20, 'n_estimators': 100}",,,,,,1
