mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.5254325071970621,0.013584789814643512,0.023889938990275066,0.00026770618878884647,True,35,10,5,5,500,"OrderedDict({'bootstrap': True, 'max_depth': 35, 'max_features': 10, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500})",0.3333333333333333,0.3333333333333333,0.328125,0.3315972222222222,0.002455231879119948,13
0.5188860098520914,0.018445136067385674,0.02323762575785319,0.00019753688702185796,True,274,9,8,5,495,"OrderedDict({'bootstrap': True, 'max_depth': 274, 'max_features': 9, 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 495})",0.3177083333333333,0.3333333333333333,0.328125,0.3263888888888889,0.006495932963149206,27
0.4621015389760335,0.00465196851391603,0.02294445037841797,0.0003256643030037115,True,89,7,10,5,480,"OrderedDict({'bootstrap': True, 'max_depth': 89, 'max_features': 7, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 480})",0.2916666666666667,0.328125,0.3177083333333333,0.3125,0.015332918170708056,46
0.4592427412668864,0.00856169120203856,0.023515780766805012,0.0001290491934295205,True,500,2,4,10,500,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500})",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,7
0.08566753069559734,0.012173174812999763,0.005013863245646159,4.4387851049714175e-05,True,96,6,7,5,59,"OrderedDict({'bootstrap': True, 'max_depth': 96, 'max_features': 6, 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 59})",0.3177083333333333,0.3333333333333333,0.3177083333333333,0.3229166666666667,0.00736569563735987,34
0.06404733657836914,0.001873180789019655,0.004682143529256185,0.00015755377681246665,True,500,10,4,5,50,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50})",0.3229166666666667,0.3333333333333333,0.328125,0.328125,0.004252586358998558,25
0.08139387766520183,0.009598946070201276,0.005068143208821614,0.00013537114015427527,True,443,3,2,20,60,"OrderedDict({'bootstrap': True, 'max_depth': 443, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 60})",0.3177083333333333,0.43402777777777773,0.3125,0.3547453703703704,0.056101436566653506,3
0.07324711481730144,0.01045967827254601,0.007000366846720378,0.0010313664826286206,True,367,2,7,20,50,"OrderedDict({'bootstrap': True, 'max_depth': 367, 'max_features': 2, 'min_samples_leaf': 7, 'min_samples_split': 20, 'n_estimators': 50})",0.3229166666666667,0.3177083333333333,0.3125,0.3177083333333333,0.004252586358998581,40
0.06778645515441895,0.009547729648867355,0.004853963851928711,0.00012538837837489463,True,308,2,2,15,56,"OrderedDict({'bootstrap': True, 'max_depth': 308, 'max_features': 2, 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 56})",0.328125,0.3333333333333333,0.3177083333333333,0.32638888888888884,0.006495932963149206,29
0.07244427998860677,0.0006199576978887154,0.0060346126556396484,0.00019762278100280241,True,469,4,8,18,62,"OrderedDict({'bootstrap': True, 'max_depth': 469, 'max_features': 4, 'min_samples_leaf': 8, 'min_samples_split': 18, 'n_estimators': 62})",0.3072916666666667,0.3229166666666667,0.3125,0.3142361111111111,0.006495932963149206,45
