mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.2539713382720947,0.0056865078266394205,0.011508673429489136,0.0005012165663317694,True,80,2,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.85,0.8166666666666667,0.7,0.6933333333333334,0.6533333333333333,0.76,0.7866666666666666,0.7866666666666666,0.7558333333333332,0.06326202125551579,278
0.5453290641307831,0.0702261821684004,0.021342754364013672,0.0030387353069865836,True,80,2,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7733333333333333,0.05751811308912465,68
0.7559297680854797,0.019940067333336132,0.026995718479156494,0.0022444191246113526,True,80,2,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.76,0.7766666666666666,0.05742144392317405,34
2.519905537366867,0.08033443834866658,0.08449366688728333,0.00648021160003131,True,80,2,3,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7733333333333333,0.05751811308912465,68
0.25218814611434937,0.01403323645726574,0.01097157597541809,0.0005229936718019163,True,80,2,3,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.8833333333333333,0.8166666666666667,0.7,0.7866666666666666,0.6533333333333333,0.7866666666666666,0.76,0.76,0.7683333333333333,0.06544717972023953,201
0.4833240807056427,0.01872599035490569,0.018057286739349365,0.0008618231012295788,True,80,2,3,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.85,0.8166666666666667,0.7,0.6933333333333334,0.8133333333333334,0.6666666666666666,0.7866666666666666,0.76,0.7608333333333333,0.06286559737514098,247
0.7594569623470306,0.03394386094254228,0.027693122625350952,0.0015854201265494187,True,80,2,3,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7733333333333333,0.05751811308912465,68
2.496507912874222,0.0661968662656199,0.08277091383934021,0.0064901710790280275,True,80,2,3,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7733333333333333,0.05751811308912465,68
0.25321048498153687,0.004164162288284282,0.011125832796096802,0.0007993026106521515,True,80,2,3,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7733333333333333,0.05751811308912465,68
0.49687063694000244,0.014463182166789287,0.018807828426361084,0.0015082994295939427,True,80,2,3,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.76,0.7766666666666666,0.05742144392317405,34
0.769164115190506,0.024977128865764617,0.028217673301696777,0.0017808953618262536,True,80,2,3,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 300}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.76,0.7866666666666666,0.76,0.77,0.05742144392317405,131
2.5276406705379486,0.07355889882593399,0.08230745792388916,0.006255541572368797,True,80,2,3,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1000}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.76,0.7866666666666666,0.76,0.77,0.05742144392317405,131
0.2547146677970886,0.009451845875784064,0.010931342840194702,0.0004170878523572101,True,80,2,4,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",0.8833333333333333,0.8166666666666667,0.7,0.6933333333333334,0.76,0.7866666666666666,0.76,0.76,0.77,0.05742144392317405,131
