mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_custom,split1_test_custom,split2_test_custom,split3_test_custom,split4_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
1.5947560310363769,0.028388002594866422,0.012568187713623048,0.0010518507996496874,0.040343472274915984,8,9,140,0.8680591793075738,"OrderedDict({'learning_rate': 0.040343472274915984, 'max_depth': 8, 'min_samples_split': 9, 'n_estimators': 140, 'subsample': 0.8680591793075738})",0.6545454545454545,0.8727272727272727,0.7578947368421053,0.7111111111111111,0.8222222222222222,0.7637001594896333,0.07749297232696112,18,0.5375,0.475,0.5375,0.625,0.5166666666666666,0.5383333333333333,0.048975617516383727,24
1.8046857833862304,0.04095658933823422,0.014302921295166016,0.0010739418998558876,0.17255364529395611,9,4,381,0.9456511661859803,"OrderedDict({'learning_rate': 0.17255364529395611, 'max_depth': 9, 'min_samples_split': 4, 'n_estimators': 381, 'subsample': 0.9456511661859803})",0.5909090909090909,0.8545454545454545,0.7578947368421053,0.7111111111111111,0.8444444444444444,0.7517809675704413,0.09666254272394344,25,0.45,0.475,0.5125,0.5,0.625,0.5125,0.06020797289396148,29
2.2113802909851072,0.16458276252812837,0.011627960205078124,0.0022026258611198076,0.045401641878176635,9,3,185,0.6751820745469395,"OrderedDict({'learning_rate': 0.045401641878176635, 'max_depth': 9, 'min_samples_split': 3, 'n_estimators': 185, 'subsample': 0.6751820745469395})",0.6545454545454545,0.7272727272727273,0.7578947368421053,0.8222222222222222,0.8444444444444444,0.7612759170653909,0.06810359312718788,19,0.5375,0.4125,0.5625,0.625,0.6,0.5475000000000001,0.07390872749547242,19
1.0204523086547852,0.03214797521049395,0.008322763442993163,0.00040618774856683354,0.15849201309311142,3,7,325,0.8092209312217534,"OrderedDict({'learning_rate': 0.15849201309311142, 'max_depth': 3, 'min_samples_split': 7, 'n_estimators': 325, 'subsample': 0.8092209312217534})",0.6727272727272727,0.8727272727272727,0.7578947368421053,0.8222222222222222,0.8222222222222222,0.7895587453482189,0.06885203238663568,2,0.5375,0.475,0.5625,0.625,0.6,0.56,0.05208166663999915,7
1.031447172164917,0.048916188651556426,0.008943986892700196,0.0007115427186167352,0.15171809566296443,6,6,292,0.9615408290026747,"OrderedDict({'learning_rate': 0.15171809566296443, 'max_depth': 6, 'min_samples_split': 6, 'n_estimators': 292, 'subsample': 0.9615408290026747})",0.6545454545454545,0.8727272727272727,0.7578947368421053,0.8222222222222222,0.8222222222222222,0.7859223817118555,0.0751210913325748,9,0.6,0.5,0.5125,0.5,0.625,0.5475,0.053851648071345036,20
1.0319827556610108,0.02440820399164091,0.008449316024780273,0.0004831410234626338,0.1214083024909187,10,3,92,0.920201292582698,"OrderedDict({'learning_rate': 0.1214083024909187, 'max_depth': 10, 'min_samples_split': 3, 'n_estimators': 92, 'subsample': 0.920201292582698})",0.6545454545454545,0.8545454545454545,0.7578947368421053,0.7111111111111111,0.8222222222222222,0.7600637958532696,0.072561207694887,21,0.5375,0.475,0.5625,0.625,0.4583333333333333,0.5316666666666667,0.06047267518842246,26
1.8758307456970216,0.03274668925873,0.009878873825073242,0.0004034491552319746,0.08156447333825878,8,5,352,0.8370478701222271,"OrderedDict({'learning_rate': 0.08156447333825878, 'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 352, 'subsample': 0.8370478701222271})",0.6545454545454545,0.7272727272727273,0.7789473684210526,0.8222222222222222,0.8222222222222222,0.7610419989367356,0.0637001089086912,20,0.5375,0.4125,0.5375,0.625,0.625,0.5475,0.07802243267163618,20
2.4429287910461426,0.056653396448327425,0.009803438186645507,0.0007540858859204683,0.06348516039427839,9,6,338,0.7296239929137495,"OrderedDict({'learning_rate': 0.06348516039427839, 'max_depth': 9, 'min_samples_split': 6, 'n_estimators': 338, 'subsample': 0.7296239929137495})",0.6545454545454545,0.7272727272727273,0.7789473684210526,0.7111111111111111,0.8222222222222222,0.7388197767145135,0.05756640932040072,27,0.6,0.5375,0.5625,0.6,0.625,0.585,0.031024184114977142,1
0.7763394355773926,0.02711333570135634,0.008851242065429688,0.0005956053513125175,0.2578438884524839,8,9,178,0.7524259059189972,"OrderedDict({'learning_rate': 0.2578438884524839, 'max_depth': 8, 'min_samples_split': 9, 'n_estimators': 178, 'subsample': 0.7524259059189972})",0.6545454545454545,0.8545454545454545,0.7789473684210526,0.8222222222222222,0.8222222222222222,0.7864965443912812,0.07021592761683353,6,0.35,0.725,0.475,0.75,0.6,0.58,0.15116216457830975,2
0.9519871711730957,0.018002201156256396,0.00904541015625,0.0005694456224650899,0.010124239352823897,9,8,117,0.831465734491354,"OrderedDict({'learning_rate': 0.010124239352823897, 'max_depth': 9, 'min_samples_split': 8, 'n_estimators': 117, 'subsample': 0.831465734491354})",0.6545454545454545,0.7272727272727273,0.7578947368421053,0.7111111111111111,0.8222222222222222,0.7346092503987242,0.05519863266176496,30,0.5375,0.4375,0.4375,0.5,0.4583333333333333,0.47416666666666674,0.03903346142876789,32
