mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_custom,split1_test_custom,split2_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
1.9641605218251545,0.012583223898128177,0.012748161951700846,0.0005227863768632848,0.15375188616472046,8,20,6,283,0.6984181313073288,"OrderedDict({'learning_rate': 0.15375188616472046, 'max_depth': 8, 'max_features': 20, 'min_samples_split': 6, 'n_estimators': 283, 'subsample': 0.6984181313073288})",0.136,0.1037037037037037,0.22272727272727272,0.15414365881032546,0.05025632140700445,11,0.5956140350877193,0.518421052631579,0.4912280701754386,0.5350877192982456,0.04421493526702113,11
1.8909588654836018,0.024063499048199842,0.010494550069173178,0.0011021401684302582,0.22443990827774793,9,36,2,85,0.810225817490658,"OrderedDict({'learning_rate': 0.22443990827774793, 'max_depth': 9, 'max_features': 36, 'min_samples_split': 2, 'n_estimators': 85, 'subsample': 0.810225817490658})",0.15,0.0,0.0782608695652174,0.07608695652173914,0.061256533928719,48,0.5912280701754385,0.5706140350877194,0.5261695906432748,0.5626705653021442,0.02714744277625426,1
1.611838976542155,0.02291348182808798,0.016086260477701824,0.002402717100378256,0.021754524732494056,4,22,8,223,0.6184172275733759,"OrderedDict({'learning_rate': 0.021754524732494056, 'max_depth': 4, 'max_features': 22, 'min_samples_split': 8, 'n_estimators': 223, 'subsample': 0.6184172275733759})",0.032,0.05925925925925926,0.19545454545454546,0.0955712682379349,0.07149950398190924,38,0.48464912280701755,0.48464912280701755,0.6295321637426902,0.5329434697855752,0.06829852048302817,13
1.2371193567911785,0.019997199776436776,0.00893402099609375,0.00043442940105889146,0.12139688460077315,5,26,4,102,0.9443633975667705,"OrderedDict({'learning_rate': 0.12139688460077315, 'max_depth': 5, 'max_features': 26, 'min_samples_split': 4, 'n_estimators': 102, 'subsample': 0.9443633975667705})",0.12857142857142856,0.22608695652173913,0.15,0.1682194616977226,0.04184320841963114,6,0.5162280701754386,0.48903508771929827,0.5211988304093568,0.5088206627680312,0.014136922091519975,29
2.4842042922973633,0.09814553650466998,0.011274337768554688,6.113410667436779e-05,0.16031844719429222,5,37,3,385,0.5491009255014838,"OrderedDict({'learning_rate': 0.16031844719429222, 'max_depth': 5, 'max_features': 37, 'min_samples_split': 3, 'n_estimators': 385, 'subsample': 0.5491009255014838})",0.15454545454545454,0.172,0.072,0.13284848484848485,0.043612451360618074,18,0.4890350877192982,0.5162280701754386,0.49459064327485386,0.49995126705653026,0.011730779718657389,34
1.0091686248779297,0.012754103467549472,0.008835554122924805,0.0007593371862438876,0.028615077515364424,8,33,6,67,0.5966174032777194,"OrderedDict({'learning_rate': 0.028615077515364424, 'max_depth': 8, 'max_features': 33, 'min_samples_split': 6, 'n_estimators': 67, 'subsample': 0.5966174032777194})",0.15,0.20909090909090908,0.13846153846153847,0.16585081585081585,0.030936098345111396,8,0.425,0.5390350877192983,0.5489766081871346,0.504337231968811,0.056246515386334774,30
1.9133986632029216,0.02960918290971607,0.009953578313191732,0.0005281676091616443,0.02777673877857812,8,27,4,98,0.9472675672592941,"OrderedDict({'learning_rate': 0.02777673877857812, 'max_depth': 8, 'max_features': 27, 'min_samples_split': 4, 'n_estimators': 98, 'subsample': 0.9472675672592941})",0.0,0.15714285714285714,0.13333333333333333,0.09682539682539681,0.06915244733584751,36,0.5434210526315789,0.5412280701754386,0.48304093567251466,0.5225633528265108,0.0279609058780779,18
2.451765696207682,0.14530741248258972,0.010937929153442383,0.000754651938289679,0.10522051287022477,4,28,7,269,0.9652024885985571,"OrderedDict({'learning_rate': 0.10522051287022477, 'max_depth': 4, 'max_features': 28, 'min_samples_split': 7, 'n_estimators': 269, 'subsample': 0.9652024885985571})",0.12692307692307692,0.07692307692307693,0.072,0.09194871794871795,0.02481214099116433,40,0.5052631578947369,0.5728070175438597,0.5283625730994153,0.5354775828460039,0.028029874144629315,10
1.5730104446411133,0.011818306008422036,0.01180251439412435,0.00037891707752423306,0.14033011953557817,8,19,7,169,0.5231153732182582,"OrderedDict({'learning_rate': 0.14033011953557817, 'max_depth': 8, 'max_features': 19, 'min_samples_split': 7, 'n_estimators': 169, 'subsample': 0.5231153732182582})",0.16521739130434782,0.064,0.03076923076923077,0.08666220735785952,0.05717959251088986,44,0.5412280701754386,0.4728070175438597,0.5255847953216374,0.5132066276803119,0.02927199328619869,24
1.7497059504191081,0.03280537544111341,0.01535813013712565,0.00033768563300956615,0.02868692533238646,6,11,3,274,0.42376454207168635,"OrderedDict({'learning_rate': 0.02868692533238646, 'max_depth': 6, 'max_features': 11, 'min_samples_split': 3, 'n_estimators': 274, 'subsample': 0.42376454207168635})",0.1,0.075,0.11666666666666667,0.09722222222222221,0.01712337223046938,35,0.5456140350877192,0.425,0.5283625730994153,0.4996588693957115,0.05325951132438165,35
2.2709853649139404,0.05530585748398052,0.016163190205891926,0.0004026494456292292,0.011046456245945335,5,16,4,374,0.44080075409312747,"OrderedDict({'learning_rate': 0.011046456245945335, 'max_depth': 5, 'max_features': 16, 'min_samples_split': 4, 'n_estimators': 374, 'subsample': 0.44080075409312747})",0.12173913043478261,0.16538461538461538,0.11304347826086956,0.1333890746934225,0.02290108526938921,17,0.5890350877192982,0.46842105263157896,0.4761695906432748,0.5112085769980507,0.055122495641453086,26
