mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_custom,split1_test_custom,split2_test_custom,split3_test_custom,split4_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
11.316184711456298,0.07215988246537579,0.01288599967956543,0.0018003199459503978,0.040343472274915984,8,9,97,0.8680591793075738,"OrderedDict({'learning_rate': 0.040343472274915984, 'max_depth': 8, 'min_samples_split': 9, 'n_estimators': 97, 'subsample': 0.8680591793075738})",0.8277777777777777,0.6277777777777778,0.6777777777777778,0.5,0.5888888888888889,0.6444444444444445,0.10858233492051145,4,0.49927745664739887,0.5,0.4360549132947977,0.43460982658959535,0.43533236994219654,0.4610549132947977,0.03150769571450543,9
8.623322439193725,0.9326265470044899,0.013333511352539063,0.0017674331919902747,0.17255364529395611,9,4,193,0.9456511661859803,"OrderedDict({'learning_rate': 0.17255364529395611, 'max_depth': 9, 'min_samples_split': 4, 'n_estimators': 193, 'subsample': 0.9456511661859803})",0.7611111111111111,0.7166666666666667,0.7611111111111111,0.4722222222222222,0.5055555555555555,0.6433333333333333,0.12757955639473176,5,0.31177745664739887,0.6242774566473989,0.43677745664739887,0.37283236994219654,0.31033236994219654,0.41119942196531795,0.11626470210225741,25
12.508951330184937,0.08199635585450209,0.012807083129882813,0.000730413680174965,0.045401641878176635,9,3,115,0.6751820745469395,"OrderedDict({'learning_rate': 0.045401641878176635, 'max_depth': 9, 'min_samples_split': 3, 'n_estimators': 115, 'subsample': 0.6751820745469395})",0.7888888888888889,0.6,0.7444444444444445,0.5555555555555556,0.49444444444444446,0.6366666666666667,0.11219471610101632,10,0.3125,0.4375,0.4360549132947977,0.4360549132947977,0.31033236994219654,0.3864884393063584,0.061302342636613896,30
7.458914566040039,0.048120429455969234,0.01215047836303711,0.001249096733342863,0.15849201309311142,3,7,170,0.8092209312217534,"OrderedDict({'learning_rate': 0.15849201309311142, 'max_depth': 3, 'min_samples_split': 7, 'n_estimators': 170, 'subsample': 0.8092209312217534})",0.7611111111111111,0.6,0.5444444444444444,0.4666666666666667,0.5333333333333333,0.5811111111111111,0.0994801301582195,27,0.3110549132947977,0.5596098265895953,0.43533236994219654,0.37283236994219654,0.5610549132947977,0.4479768786127167,0.09980256747293086,15
8.403074502944946,0.351187062201068,0.011385583877563476,0.001554882481020068,0.15171809566296443,6,6,157,0.9615408290026747,"OrderedDict({'learning_rate': 0.15171809566296443, 'max_depth': 6, 'min_samples_split': 6, 'n_estimators': 157, 'subsample': 0.9615408290026747})",0.5944444444444444,0.5388888888888889,0.6,0.5111111111111111,0.5055555555555555,0.55,0.04021546904634191,28,0.3110549132947977,0.49927745664739887,0.5617774566473989,0.43533236994219654,0.37283236994219654,0.4360549132947977,0.08879849092398603,17
11.382837390899658,0.29592789854317303,0.011598014831542968,0.0006720595178932696,0.1214083024909187,10,3,78,0.920201292582698,"OrderedDict({'learning_rate': 0.1214083024909187, 'max_depth': 10, 'min_samples_split': 3, 'n_estimators': 78, 'subsample': 0.920201292582698})",0.6,0.6777777777777778,0.5555555555555556,0.4722222222222222,0.6333333333333333,0.5877777777777777,0.07030796453136168,26,0.37427745664739887,0.6242774566473989,0.49927745664739887,0.3735549132947977,0.5610549132947977,0.48648843930635843,0.10005480221770544,2
18.486471319198607,0.7768383882569364,0.014050722122192383,0.0006154847541793746,0.08156447333825878,8,5,181,0.8370478701222271,"OrderedDict({'learning_rate': 0.08156447333825878, 'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 181, 'subsample': 0.8370478701222271})",0.8277777777777777,0.5888888888888889,0.5555555555555556,0.5888888888888889,0.5444444444444444,0.6211111111111111,0.10484556544075951,14,0.5625,0.5625,0.49783236994219654,0.3110549132947977,0.4360549132947977,0.47398843930635837,0.09404617171926219,6
19.96409978866577,0.18676632645495483,0.015295267105102539,0.0005386453300363014,0.06348516039427839,9,6,176,0.7296239929137495,"OrderedDict({'learning_rate': 0.06348516039427839, 'max_depth': 9, 'min_samples_split': 6, 'n_estimators': 176, 'subsample': 0.7296239929137495})",0.7833333333333333,0.6944444444444444,0.5944444444444444,0.5,0.5444444444444444,0.6233333333333333,0.10288432915262259,12,0.4375,0.6235549132947977,0.4360549132947977,0.4360549132947977,0.43533236994219654,0.47369942196531795,0.0749310552164556,8
9.136230564117431,1.265630865448623,0.010704469680786134,0.0005686336673028469,0.2578438884524839,8,9,112,0.7524259059189972,"OrderedDict({'learning_rate': 0.2578438884524839, 'max_depth': 8, 'min_samples_split': 9, 'n_estimators': 112, 'subsample': 0.7524259059189972})",0.5611111111111111,0.28888888888888886,0.5555555555555556,0.2,0.3888888888888889,0.39888888888888885,0.14326010187809954,32,0.3735549132947977,0.4295520231213873,0.4338872832369942,0.30744219653179194,0.3088872832369942,0.3706647398843931,0.05529321722443087,31
11.152612829208374,0.03647922023654979,0.012658643722534179,0.0014601278762797817,0.010124239352823897,9,8,88,0.831465734491354,"OrderedDict({'learning_rate': 0.010124239352823897, 'max_depth': 9, 'min_samples_split': 8, 'n_estimators': 88, 'subsample': 0.831465734491354})",0.7055555555555556,0.7055555555555556,0.5888888888888889,0.5,0.55,0.61,0.08295469535524487,20,0.375,0.4375,0.3125,0.375,0.3125,0.3625,0.046770717334674264,32
