mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_custom,split1_test_custom,split2_test_custom,mean_test_custom,std_test_custom,rank_test_custom
0.23291889826456705,0.004917530877692453,0.03965497016906738,0.011599619286253337,True,80,2,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.4,0.4,0.4,0.4000000000000001,5.551115123125783e-17,166,0.5777777777777777,0.5259259259259259,0.4222222222222222,0.508641975308642,0.0646706214997965,116
0.4941559632619222,0.03810917744599749,0.05752698580423991,0.01886478522869046,True,80,2,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.5,0.4,0.4,0.43333333333333335,0.04714045207910316,5,0.5481481481481482,0.4703703703703704,0.5555555555555556,0.5246913580246914,0.0385295963810549,52
0.7445620695749918,0.021808070320960243,0.06139993667602539,0.0015763930070449481,True,80,2,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.5,0.4,0.4,0.43333333333333335,0.04714045207910316,5,0.6037037037037037,0.4703703703703704,0.48518518518518516,0.5197530864197532,0.05966936283256581,59
2.3236709435780845,0.10117655232004027,0.18716351191202799,0.01997787499922491,True,80,2,3,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",0.45,0.4,0.4,0.4166666666666667,0.02357022603955158,66,0.5777777777777777,0.5518518518518518,0.45185185185185184,0.5271604938271605,0.05429292204270621,31
0.25780272483825684,0.027009266741446464,0.02764550844828288,0.0013832728219622936,True,80,2,3,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.4,0.4,0.4,0.4000000000000001,5.551115123125783e-17,166,0.4703703703703704,0.44074074074074077,0.45185185185185184,0.45432098765432105,0.012221598687174894,265
0.5077089468638102,0.04869455466440209,0.04960854848225912,0.00262325670577553,True,80,2,3,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.4,0.4,0.4,0.4000000000000001,5.551115123125783e-17,166,0.4703703703703704,0.44074074074074077,0.44814814814814813,0.45308641975308644,0.012590171638500704,271
0.7258192698160807,0.036194673587729986,0.05701637268066406,0.0013183967101585586,True,80,2,3,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.4,0.4,0.4,0.4000000000000001,5.551115123125783e-17,166,0.5777777777777777,0.4666666666666667,0.5111111111111111,0.5185185185185185,0.04566232594791832,67
2.4517462253570557,0.08306319747446002,0.1865839958190918,0.010020929871313377,True,80,2,3,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.45,0.4,0.4,0.4166666666666667,0.02357022603955158,66,0.5777777777777777,0.5518518518518518,0.4666666666666667,0.5320987654320987,0.04746267354750883,27
0.2378673553466797,0.006195077152644299,0.027660846710205078,0.001395207367707399,True,80,2,3,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",0.45,0.4,0.4,0.4166666666666667,0.02357022603955158,66,0.5740740740740741,0.5814814814814815,0.3888888888888889,0.5148148148148147,0.08909441260577143,89
0.47765350341796875,0.04763880011071065,0.04713741938273112,0.007689230558904398,True,80,2,3,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.4,0.35,0.4,0.3833333333333333,0.023570226039551608,217,0.4703703703703704,0.5518518518518518,0.4148148148148148,0.4790123456790123,0.05627788306193323,209
0.7002517382303873,0.04340298577538691,0.06500728925069173,0.00955264016316426,True,80,2,3,12,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 300}",0.4,0.4,0.4,0.4000000000000001,5.551115123125783e-17,166,0.6333333333333333,0.4962962962962963,0.45185185185185184,0.5271604938271605,0.07723699910922001,31
2.4139711062113443,0.037673467229394464,0.18407686551411948,0.010955402816007499,True,80,2,3,12,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1000}",0.4,0.4,0.4,0.4000000000000001,5.551115123125783e-17,166,0.6037037037037037,0.4962962962962963,0.45185185185185184,0.5172839506172839,0.06374484268358316,78
0.26557429631551105,0.020519011671216458,0.02773888905843099,0.0025752390436059695,True,80,2,4,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",0.35,0.4,0.4,0.3833333333333333,0.023570226039551608,217,0.6074074074074074,0.5259259259259259,0.48518518518518516,0.5395061728395062,0.05081263117841155,6
