mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_custom,split1_test_custom,split2_test_custom,split3_test_custom,split4_test_custom,split5_test_custom,split6_test_custom,split7_test_custom,split8_test_custom,split9_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.3986524105072021,0.05151561471719457,0.03278460502624512,0.004679903560871586,True,428,8,8,12,241,"OrderedDict({'bootstrap': True, 'max_depth': 428, 'max_features': 8, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 241})",0.5,0.0,0.0,0.9,0.5,0.9,0.0,0.0,0.4,0.8,0.4,0.363318042491699,34,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.6934811115264893,0.13928431692315446,0.05932426452636719,0.010379956418190766,True,355,9,7,19,405,"OrderedDict({'bootstrap': True, 'max_depth': 355, 'max_features': 9, 'min_samples_leaf': 7, 'min_samples_split': 19, 'n_estimators': 405})",0.0,0.0,0.0,1.0,0.9,0.9,0.0,0.5,0.5,0.4,0.42000000000000004,0.38935844667863573,24,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.14941003322601318,0.01323160664332689,0.019602179527282715,0.002355166076409387,True,450,9,9,18,77,"OrderedDict({'bootstrap': True, 'max_depth': 450, 'max_features': 9, 'min_samples_leaf': 9, 'min_samples_split': 18, 'n_estimators': 77})",0.5,0.0,0.0,0.9,0.5,1.0,0.0,0.0,0.4,0.8,0.41,0.378021163428716,27,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.6146220922470093,0.06895444791443471,0.043662643432617186,0.007363729630241752,True,44,8,5,7,354,"OrderedDict({'bootstrap': True, 'max_depth': 44, 'max_features': 8, 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 354})",0.5,0.0,0.4,0.8,0.5,0.9,0.0,0.0,0.4,0.8,0.43,0.3257299494980466,22,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.6367888450622559,0.0706725929668045,0.05391287803649902,0.010421280468172034,True,260,6,5,5,371,"OrderedDict({'bootstrap': True, 'max_depth': 260, 'max_features': 6, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 371})",0.9,0.0,0.4,0.9,0.5,1.0,0.0,0.5,0.4,0.8,0.54,0.34117444218463966,3,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.5910505056381226,0.06602300138859554,0.046555280685424805,0.008719125870242355,True,273,6,8,11,357,"OrderedDict({'bootstrap': True, 'max_depth': 273, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 11, 'n_estimators': 357})",0.5,0.0,0.0,0.9,0.5,1.0,0.0,0.0,0.4,0.8,0.41,0.378021163428716,27,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.23841333389282227,0.024419938573116508,0.02441878318786621,0.003942541358612468,True,341,3,8,16,138,"OrderedDict({'bootstrap': True, 'max_depth': 341, 'max_features': 3, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 138})",0.0,0.0,0.0,0.9,0.5,1.0,0.0,0.5,0.5,0.8,0.42000000000000004,0.3789459064299283,24,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.6433821201324463,0.07396531947285771,0.04926986694335937,0.011387548984498789,True,23,6,6,9,382,"OrderedDict({'bootstrap': True, 'max_depth': 23, 'max_features': 6, 'min_samples_leaf': 6, 'min_samples_split': 9, 'n_estimators': 382})",0.5,0.0,0.0,0.9,0.5,1.0,0.0,0.5,0.4,0.8,0.45999999999999996,0.352703841770968,11,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.1791693925857544,0.01318202024112942,0.022214865684509276,0.003791452006187213,True,157,9,10,18,97,"OrderedDict({'bootstrap': True, 'max_depth': 157, 'max_features': 9, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 97})",0.0,0.0,0.0,0.9,0.4,1.0,0.0,0.0,0.4,0.8,0.35,0.393064880140671,46,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
0.4878023386001587,0.06154370549922301,0.04082865715026855,0.006897025419840174,True,81,2,7,7,308,"OrderedDict({'bootstrap': True, 'max_depth': 81, 'max_features': 2, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 308})",0.5,0.0,0.0,0.9,0.5,1.0,0.0,0.0,0.4,0.8,0.41,0.378021163428716,27,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35,0.05,1
