mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_custom,split1_test_custom,split2_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
6.466314236323039,0.12046699197128495,0.01205595334370931,0.000362447754505759,0.02716295807533392,5,9,364,0.9062258868178834,"OrderedDict({'learning_rate': 0.02716295807533392, 'max_depth': 5, 'min_samples_split': 9, 'n_estimators': 364, 'subsample': 0.9062258868178834})",0.0,0.0,0.0,0.0,0.0,34,0.7684108527131782,0.5813953488372093,0.6409191583610189,0.6635751199704688,0.07801140566110523,47
9.206594308217367,0.0737034117082666,0.015362739562988281,0.0002536236585439235,0.025698611641436823,10,10,319,0.8173287699100358,"OrderedDict({'learning_rate': 0.025698611641436823, 'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 319, 'subsample': 0.8173287699100358})",0.0,0.1125,0.0,0.0375,0.05303300858899107,9,0.7364341085271318,0.7441860465116279,0.6944905869324475,0.7250369139904024,0.02183012762487551,18
2.0045653184254966,0.049490780528140786,0.007458209991455078,0.00021526552835578238,0.14090915176847169,3,4,172,0.9526347625615008,"OrderedDict({'learning_rate': 0.14090915176847169, 'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 172, 'subsample': 0.9526347625615008})",0.05,0.0,0.0,0.016666666666666666,0.023570226039551587,27,0.6589147286821705,0.7839147286821705,0.8254429678848284,0.7560908084163898,0.07077448465467295,5
2.111313740412394,0.017684521028511927,0.007456461588541667,0.000136088680775802,0.025669850725293562,10,5,65,0.9151115156704033,"OrderedDict({'learning_rate': 0.025669850725293562, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 65, 'subsample': 0.9151115156704033})",0.0,0.0,0.12,0.04,0.056568542494923796,5,0.6589147286821705,0.7083333333333334,0.7324197120708749,0.6998892580287929,0.03059654067107357,31
0.4916822910308838,0.0026308125518276367,0.0056400299072265625,0.0001920893379075617,0.1300407501778689,4,5,31,0.9903943578980208,"OrderedDict({'learning_rate': 0.1300407501778689, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 31, 'subsample': 0.9903943578980208})",0.0625,0.05,0.06666666666666667,0.059722222222222225,0.007081971546656644,2,0.6569767441860465,0.7897286821705426,0.6848006644518273,0.7105020302694721,0.05716169704344089,26
3.391793727874756,0.22941188639897903,0.008595863978068033,0.00027811383896369346,0.11877601007814684,10,3,122,0.927256237137589,"OrderedDict({'learning_rate': 0.11877601007814684, 'max_depth': 10, 'min_samples_split': 3, 'n_estimators': 122, 'subsample': 0.927256237137589})",0.0,0.0,0.0,0.0,0.0,34,0.7044573643410853,0.7916666666666666,0.601328903654485,0.6991509782207457,0.07779560530588668,32
0.6947066783905029,0.011742991385699354,0.0062139034271240234,0.0004059890153401863,0.010094393895513304,8,3,26,0.9033577071701426,"OrderedDict({'learning_rate': 0.010094393895513304, 'max_depth': 8, 'min_samples_split': 3, 'n_estimators': 26, 'subsample': 0.9033577071701426})",0.0,0.0,0.0,0.0,0.0,34,0.6831395348837209,0.625,0.6926910299003323,0.6669435215946845,0.02991378742415059,46
1.5759867827097576,0.1015043527927765,0.007486820220947266,0.0012266523211165207,0.20345485203349783,3,3,162,0.9575974563681989,"OrderedDict({'learning_rate': 0.20345485203349783, 'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 162, 'subsample': 0.9575974563681989})",0.0,0.0,0.05333333333333334,0.017777777777777778,0.02514157444218836,23,0.5813953488372093,0.6589147286821705,0.7422480620155039,0.6608527131782945,0.06568214202828186,48
1.7997275988260906,0.02673975797943594,0.007962862650553385,0.0004410263986245509,0.1064851232553075,6,8,107,0.6896776243391914,"OrderedDict({'learning_rate': 0.1064851232553075, 'max_depth': 6, 'min_samples_split': 8, 'n_estimators': 107, 'subsample': 0.6896776243391914})",0.0,0.0,0.05333333333333334,0.017777777777777778,0.02514157444218836,23,0.623062015503876,0.7897286821705426,0.6825858250276854,0.6984588409007012,0.06896090157532843,35
9.660569270451864,0.12121199698035051,0.015781720479329426,0.0003520347181976181,0.04319029230893517,9,5,379,0.7830331713938551,"OrderedDict({'learning_rate': 0.04319029230893517, 'max_depth': 9, 'min_samples_split': 5, 'n_estimators': 379, 'subsample': 0.7830331713938551})",0.0,0.0,0.0,0.0,0.0,34,0.6647286821705426,0.6666666666666666,0.6926910299003323,0.6746954595791804,0.012749362320378828,42
1.5100239117940266,0.11814020342299036,0.00673222541809082,7.634632974544244e-05,0.22317770257231526,10,5,200,1.0,"OrderedDict({'learning_rate': 0.22317770257231526, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 1.0})",0.0,0.0625,0.0,0.020833333333333332,0.02946278254943948,19,0.6627906976744186,0.6589147286821705,0.6848006644518273,0.6688353636028054,0.011399529443710983,45
0.21798467636108398,0.0042142436190482505,0.0055437882741292315,0.00042821996030466475,0.01322235108831325,3,10,21,0.7204234852871221,"OrderedDict({'learning_rate': 0.01322235108831325, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 21, 'subsample': 0.7204234852871221})",0.0,0.0,0.0,0.0,0.0,34,0.7422480620155039,0.8178294573643411,0.7264673311184939,0.7621816168327796,0.03987287702838052,4
