mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.19484946727752686,0.023369146400877127,0.007666850090026855,0.0016154513307760363,True,20,8,2,20,73,"OrderedDict({'bootstrap': True, 'max_depth': 20, 'max_features': 8, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 73})",0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.425,0.11456439237389598,40
0.852335524559021,0.07442459272474083,0.021310591697692872,0.005333982618102898,True,82,10,4,7,332,"OrderedDict({'bootstrap': True, 'max_depth': 82, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 332})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.25,0.4497222222222222,0.09986449152059339,37
0.8836199283599854,0.10192350279117542,0.029633092880249023,0.007106274260968848,True,460,2,4,9,500,"OrderedDict({'bootstrap': True, 'max_depth': 460, 'max_features': 2, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 500})",0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.35,0.12247448713915891,48
1.140711236000061,0.11793290798536916,0.025407743453979493,0.00325454140995576,True,20,7,2,20,500,"OrderedDict({'bootstrap': True, 'max_depth': 20, 'max_features': 7, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 500})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
1.1581875324249267,0.09635776731736836,0.02570335865020752,0.003368207291690262,True,175,9,10,5,500,"OrderedDict({'bootstrap': True, 'max_depth': 175, 'max_features': 9, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 500})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
1.2250461101531982,0.12101352482710986,0.027988362312316894,0.004697240350659797,True,253,10,5,5,489,"OrderedDict({'bootstrap': True, 'max_depth': 253, 'max_features': 10, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 489})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.47472222222222216,0.07491198539323034,16
1.0829174280166627,0.1128005773930347,0.028626894950866698,0.006354161676890307,True,421,7,8,5,500,"OrderedDict({'bootstrap': True, 'max_depth': 421, 'max_features': 7, 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 500})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
1.3045838117599486,0.11704575271101131,0.027244377136230468,0.004423611804017362,True,500,10,2,5,500,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.47472222222222216,0.07491198539323034,16
1.2968271017074584,0.12472630726671921,0.025758647918701173,0.0030741318060947456,True,113,10,2,20,500,"OrderedDict({'bootstrap': True, 'max_depth': 113, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 500})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
1.2719041109085083,0.12140251979622642,0.02707383632659912,0.0037928575552488683,True,500,9,2,5,500,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.47472222222222216,0.07491198539323034,16
1.326783537864685,0.11081420058871891,0.025449299812316896,0.0033945965982008037,True,229,10,2,5,500,"OrderedDict({'bootstrap': True, 'max_depth': 229, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.47472222222222216,0.07491198539323034,16
1.16451575756073,0.10663728749076196,0.027432632446289063,0.0045211197005474955,True,21,7,2,10,500,"OrderedDict({'bootstrap': True, 'max_depth': 21, 'max_features': 7, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.475,0.075,12
1.098335862159729,0.11280719286314257,0.02407536506652832,0.0034162532044616106,True,500,8,2,8,451,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 451})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
1.1814404487609864,0.1177560889981738,0.02432262897491455,0.0038804744059706604,True,414,10,2,10,448,"OrderedDict({'bootstrap': True, 'max_depth': 414, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 448})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
1.1605496644973754,0.08961701038027856,0.025114774703979492,0.005312523121350832,True,20,10,2,8,441,"OrderedDict({'bootstrap': True, 'max_depth': 20, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 441})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.47472222222222216,0.07491198539323034,16
1.2295695304870606,0.08846080089841366,0.025184035301208496,0.004744883713683577,True,469,10,2,11,456,"OrderedDict({'bootstrap': True, 'max_depth': 469, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 456})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
1.0708773612976075,0.09704727876024759,0.024548721313476563,0.004032825522610466,True,425,7,2,10,454,"OrderedDict({'bootstrap': True, 'max_depth': 425, 'max_features': 7, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 454})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.47472222222222216,0.07491198539323034,16
0.16264302730560304,0.016944191780549886,0.006305694580078125,0.0009394607644550568,True,368,10,2,13,50,"OrderedDict({'bootstrap': True, 'max_depth': 368, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 50})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.425,0.11456439237389601,40
0.9929851293563843,0.09450565873425064,0.02494969367980957,0.006302085842178428,True,500,9,2,20,392,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 392})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
1.09207181930542,0.07829763213862946,0.022228288650512695,0.002896063508160163,True,500,9,2,6,424,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 424})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.4497222222222222,0.09986449152059339,37
1.2288089990615845,0.1072396241910819,0.02603609561920166,0.0026755873070309377,True,500,8,2,9,500,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 8, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
1.2598381757736206,0.09039482089908349,0.027045631408691408,0.004333606338903574,True,490,10,6,10,500,"OrderedDict({'bootstrap': True, 'max_depth': 490, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 10, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.475,0.075,12
0.9763014793395997,0.1106807075471697,0.021894097328186035,0.0036779941778872704,True,31,9,2,11,388,"OrderedDict({'bootstrap': True, 'max_depth': 31, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 388})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.11180339887498948,1
1.1610470056533813,0.1160132976625549,0.0261383056640625,0.003517306251595316,True,416,7,2,13,500,"OrderedDict({'bootstrap': True, 'max_depth': 416, 'max_features': 7, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 500})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
0.9802440881729126,0.08944125803311533,0.019889330863952635,0.002346178978250341,True,500,10,2,11,371,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 371})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.47472222222222216,0.13458010832049272,16
1.2654823064804077,0.1121053083075912,0.025740909576416015,0.00351697168674682,True,76,9,2,12,500,"OrderedDict({'bootstrap': True, 'max_depth': 76, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.11180339887498948,1
1.162113857269287,0.10888306879315092,0.023599743843078613,0.0029677990146716976,True,91,9,2,10,461,"OrderedDict({'bootstrap': True, 'max_depth': 91, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 461})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
1.2588807106018067,0.1204714754050858,0.026247358322143553,0.0037257984306162087,True,20,9,2,10,500,"OrderedDict({'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
1.3123160600662231,0.11249190075878861,0.027749466896057128,0.004061618273735171,True,382,10,2,10,500,"OrderedDict({'bootstrap': True, 'max_depth': 382, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
0.11206996440887451,0.015106240852655597,0.00671076774597168,0.0009563970976966929,True,234,2,10,5,50,"OrderedDict({'bootstrap': True, 'max_depth': 234, 'max_features': 2, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 50})",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,50
1.3154638767242433,0.10058123287113656,0.025774693489074706,0.0031724197359724255,True,231,10,2,13,500,"OrderedDict({'bootstrap': True, 'max_depth': 231, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.47472222222222216,0.07491198539323034,16
1.274023985862732,0.12300575704721883,0.027008318901062013,0.003340134885117288,True,500,9,2,10,500,"OrderedDict({'bootstrap': True, 'max_depth': 500, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.75,0.4997222222222222,0.1118065044818254,4
0.14259984493255615,0.01706536778929451,0.006004738807678223,0.001015753809426252,True,351,10,10,5,50,"OrderedDict({'bootstrap': True, 'max_depth': 351, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 50})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.475,0.075,12
1.0598358869552613,0.11757800702488815,0.023153162002563475,0.004011248246156422,True,20,9,2,12,420,"OrderedDict({'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 420})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.11180339887498948,1
