mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1157844066619873,0.006340211019311471,0.004685719807942708,0.00018888373265905697,10,50,"{'max_depth': 10, 'n_estimators': 50}",88.0,140.0,109.0,112.33333333333333,21.35935912480106,5
0.22591304779052734,0.01476490767162346,0.007114013036092122,0.00018924151711531705,10,100,"{'max_depth': 10, 'n_estimators': 100}",100.0,173.0,133.0,135.33333333333334,29.847761874031505,1
0.11697705586751302,0.006764038342346028,0.004483540852864583,5.4418079540199805e-05,,50,"{'max_depth': None, 'n_estimators': 50}",106.0,105.0,119.0,110.0,6.377042156569663,6
0.2285944620768229,0.009424606742230333,0.007018168767293294,3.556905477588032e-05,,100,"{'max_depth': None, 'n_estimators': 100}",108.0,105.0,135.0,116.0,13.490737563232042,3
0.11795258522033691,0.007217005154415959,0.004486083984375,6.687828844443009e-05,20,50,"{'max_depth': 20, 'n_estimators': 50}",88.0,125.0,134.0,115.66666666666667,19.90533150244482,4
0.23311614990234375,0.017174655959831957,0.007116953531901042,0.00023777312753776907,20,100,"{'max_depth': 20, 'n_estimators': 100}",108.0,170.0,119.0,132.33333333333334,27.010286106510527,2
