mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12030569712320964,0.010202102966010257,0.007200400034586589,0.00468768706668886,,50,"{'max_depth': None, 'n_estimators': 50}",,,,,,1
0.22614105542500815,0.006860142100914956,0.00609890619913737,0.0001339798338330266,,100,"{'max_depth': None, 'n_estimators': 100}",,,,,,1
0.1147767702738444,0.0066674662844605865,0.0038582483927408853,2.6280414209629106e-05,10,50,"{'max_depth': 10, 'n_estimators': 50}",,,,,,1
0.2462782065073649,0.008374669385195268,0.006538232167561849,0.00031796669069333134,10,100,"{'max_depth': 10, 'n_estimators': 100}",,,,,,1
0.11881065368652344,0.0034695265105419535,0.003896951675415039,5.31539771894597e-05,20,50,"{'max_depth': 20, 'n_estimators': 50}",,,,,,1
0.22469870249430338,0.010204752782572487,0.006071329116821289,0.00012719089323119103,20,100,"{'max_depth': 20, 'n_estimators': 100}",,,,,,1
