mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_custom,split1_test_custom,split2_test_custom,split3_test_custom,split4_test_custom,split5_test_custom,split6_test_custom,split7_test_custom,split8_test_custom,split9_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.3093550682067871,0.031801881035388106,0.03608307838439941,0.014203635306276271,True,80,2,3,8,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.7866666666666666,0.7866666666666666,0.68,0.6666666666666666,0.9066666666666666,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7613333333333333,0.06625204399362582,43,0.625,0.5,0.625,0.5,0.375,0.375,0.4985549132947977,0.5,0.4985549132947977,0.5,0.4997109826589595,0.07905905466228197,280
0.5734029531478881,0.04625243807335511,0.04595983028411865,0.004366982030353852,True,80,2,3,8,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.76,0.7866666666666666,0.6533333333333333,0.6666666666666666,0.9066666666666666,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7559999999999999,0.06929486112099349,117,0.75,0.5,0.625,0.5,0.25,0.375,0.4985549132947977,0.5,0.6235549132947977,0.4985549132947977,0.5120664739884393,0.13040858683588255,261
0.9376228094100952,0.12636202612173447,0.07103908061981201,0.019653277460985625,True,80,2,3,8,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",0.76,0.7866666666666666,0.6533333333333333,0.6666666666666666,0.88,0.7866666666666666,0.76,0.76,0.7866666666666666,0.76,0.76,0.06051629716218782,51,0.75,0.625,0.625,0.5,0.375,0.375,0.4985549132947977,0.5,0.49710982658959535,0.5,0.5245664739884393,0.10907581076282728,215
2.929001069068909,0.2282586512883789,0.18663980960845947,0.02276220629635101,True,80,2,3,8,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 1000}",0.76,0.7866666666666666,0.6533333333333333,0.6666666666666666,0.7866666666666666,0.7866666666666666,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7533333333333333,0.04816637831516918,138,0.75,0.5,0.625,0.5,0.375,0.375,0.6235549132947977,0.5,0.4985549132947977,0.5,0.5247109826589595,0.10887450492891187,210
0.326296067237854,0.04934544378270343,0.030075430870056152,0.004731552667086677,True,80,2,3,10,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.76,0.7866666666666666,0.68,0.6666666666666666,0.8133333333333334,0.6666666666666666,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7466666666666667,0.05198290317231447,208,0.75,0.5,0.6221098265895953,0.5,0.25,0.375,0.4985549132947977,0.5,0.6221098265895953,0.375,0.49927745664739887,0.13640692324295853,284
0.5628179311752319,0.06405524104386519,0.04599044322967529,0.010139099750538328,True,80,2,3,10,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.7866666666666666,0.7866666666666666,0.68,0.6666666666666666,0.8133333333333334,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.752,0.049602867300635387,169,0.75,0.75,0.625,0.375,0.375,0.375,0.6221098265895953,0.625,0.4956647398843931,0.5,0.5492774566473988,0.1392019852206312,66
0.8703576326370239,0.06762553583700835,0.06798508167266845,0.0122142605955291,True,80,2,3,10,300,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.76,0.7866666666666666,0.68,0.6666666666666666,0.9066666666666666,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7586666666666666,0.06571318149520855,54,0.75,0.625,0.6235549132947977,0.5,0.375,0.375,0.4985549132947977,0.5,0.6221098265895953,0.5,0.536921965317919,0.11221470464927286,154
2.9723499536514284,0.19386049491771865,0.1813365936279297,0.01903642025525182,True,80,2,3,10,1000,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.76,0.7866666666666666,0.6533333333333333,0.6666666666666666,0.9066666666666666,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.7559999999999999,0.06929486112099349,117,0.75,0.625,0.625,0.5,0.375,0.375,0.4985549132947977,0.5,0.49710982658959535,0.5,0.5245664739884393,0.10907581076282728,215
0.28119049072265623,0.01635315569662789,0.03136882781982422,0.007304826024957181,True,80,2,3,12,100,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",0.76,0.7866666666666666,0.76,0.6933333333333334,0.9066666666666666,0.6933333333333334,0.76,0.76,0.7866666666666666,0.76,0.7666666666666666,0.056015870766933325,17,0.75,0.5,0.625,0.4985549132947977,0.25,0.375,0.7485549132947977,0.625,0.6177745664739884,0.5,0.5489884393063583,0.1495087990219901,79
0.5663712739944458,0.052570777556290096,0.04402239322662353,0.005774333078006727,True,80,2,3,12,200,"{'bootstrap': True, 'max_depth': 80, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.76,0.7866666666666666,0.6533333333333333,0.6666666666666666,0.7866666666666666,0.6933333333333334,0.76,0.7866666666666666,0.7866666666666666,0.76,0.744,0.049817444512718405,251,0.75,0.625,0.625,0.5,0.375,0.375,0.6235549132947977,0.625,0.6221098265895953,0.5,0.5620664739884392,0.1150126751342868,22
